phi,ratio,theta,sigma_s,k_star,seed,horizon,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.008,2.00,0.1,0.05,4,3006,1800,1300,1523.2266666666667,0.469855657288913,RUNAWAY,0,1,574.1466666666666,300,1,09df8a14,600,557.4,0.816050711637364,CONTROLLED,0,0,259.81666666666666,300,1,1c37a8ce,1300,NA,125155,0.1439889553992834,17.998619424910796,41.711764815564656
0.008,2.00,0.1,0.05,4,3007,1800,1269,1562.56,0.5050728718683869,RUNAWAY,0,1,547.9133333333333,300,1,7304f27b,600,474.80333333333334,0.817215548893928,CONTROLLED,0,0,249.08,300,1,8c023d81,1269,NA,122059,0.14066106062431577,17.58263257803985,40.82455207435288
0.008,2.00,0.1,0.05,4,3008,1800,1251,1578.4366666666667,0.32043519854032787,RUNAWAY,0,1,565.3666666666667,300,1,137c91ee,600,562.0266666666666,0.8020082083886886,CONTROLLED,0,0,269.49666666666667,300,1,8fb08a0f,1251,NA,123462,0.14127440300815453,17.659300376019274,39.90116757646702
0.008,2.00,0.1,0.05,4,3009,1800,1424,1636.4966666666667,0.40543518776899434,RUNAWAY,0,1,614.95,300,1,63d0b172,600,514.7266666666667,0.8230193371239104,CONTROLLED,0,0,247.72,300,1,ae539421,1424,NA,132003,0.15283687610385055,19.10460951298067,44.15682476724472
0.008,2.00,0.1,0.05,4,3010,1800,1219,1587.4433333333334,0.3817606087776362,RUNAWAY,0,1,514.2733333333333,300,1,4ded8c4b,600,419.4533333333333,0.807121968276169,CONTROLLED,0,0,239.08333333333334,300,1,37f21fca,1219,NA,118880,0.13539153394707842,16.923941743384574,37.23109843281516
0.016,2.00,0.1,0.05,4,3001,1800,707,1541.85,0.3232502080833631,RUNAWAY,0,1,288.02666666666664,300,1,07599cf4,600,593.79,0.5615060318743439,CONTROLLED,0,0,241.57666666666665,300,1,df0deb7c,707,NA,61891,0.14416069753961863,9.01004359622599,20.924614802428618
0.016,2.00,0.1,0.05,4,3002,1800,696,1518.5433333333333,0.3596714395155006,RUNAWAY,0,1,282.92333333333335,300,1,5bdd6a63,600,697.3066666666666,0.5373580251634862,CONTROLLED,0,0,245.00666666666666,300,1,3b810f0e,696,NA,61484,0.14387732300776568,8.99233268798533,20.6101528038447
0.016,2.00,0.1,0.05,4,3003,1800,702,1534.7366666666667,0.3707780487857852,RUNAWAY,0,1,283.2266666666667,300,1,649a7dad,600,857.6533333333333,0.5684037062371743,CONTROLLED,0,0,240.98666666666668,300,1,86cd929f,702,NA,61931,0.1427315792536725,8.920723703354547,21.026886306069386
0.016,2.00,0.1,0.05,4,3004,1800,647,1650.86,0.35681402420556557,RUNAWAY,0,1,263.08666666666664,300,1,fe6181b7,600,527.4633333333334,0.46166242203249513,CONTROLLED,0,0,243.49333333333334,300,1,dc43824d,647,NA,59873,0.13865885133532257,8.666178208457694,19.84301591377169
0.016,2.00,0.1,0.05,4,3005,1800,727,1579.4666666666667,0.3210092014182002,RUNAWAY,0,1,301.01666666666665,300,1,5df5f32b,600,836.1566666666666,0.3835884024923559,CONTROLLED,0,0,248.02,300,1,dc55d7a4,727,NA,63690,0.1510615845872,9.441349036700364,22.111758777975968
0.016,2.00,0.1,0.05,4,3006,1800,721,1622.89,0.2783717113708672,RUNAWAY,0,1,304.05333333333334,300,1,0542d748,600,698.0666666666667,0.4718174004393086,CONTROLLED,0,0,251.45333333333335,300,1,8def34f4,721,NA,65675,0.1516699554518764,9.479372215742314,22.2593595310319
0.016,2.00,0.1,0.05,4,3007,1800,755,1694.62,0.23948141766295689,RUNAWAY,0,1,297.12666666666667,300,1,ff45808a,600,697.82,0.4338702435202965,CONTROLLED,0,0,232.23333333333332,300,1,37aebf8d,755,NA,62622,0.14451639189162102,9.032274493226387,22.2345581524286
0.016,2.00,0.1,0.05,4,3008,1800,732,1559.94,0.371601899218346,RUNAWAY,0,1,290.1533333333333,300,1,d393727a,600,702.6166666666667,0.48010057641672793,CONTROLLED,0,0,233.71333333333334,300,1,4e1e5b1c,732,NA,61241,0.14205073427014775,8.878170891884226,21.68696962917689
0.016,2.00,0.1,0.05,4,3009,1800,638,1507.6133333333332,0.3705238301598111,RUNAWAY,0,1,261.13,300,1,3930c2a1,600,952.1566666666666,0.6714371234425707,CONTROLLED,0,0,244.02666666666667,300,1,f9200eab,638,NA,60441,0.141173662992222,8.82335393701403,19.66172180651688
0.016,2.00,0.1,0.05,4,3010,1800,684,1781.4966666666667,0.33336763657523916,RUNAWAY,0,1,265.2866666666667,300,1,7763fb12,600,472.01,0.4476953171896076,CONTROLLED,0,0,233.62,300,1,a98805bd,684,NA,61310,0.1403770696101075,8.773566850631719,20.233846025934252
0.032,2.00,0.1,0.05,4,3001,1800,426,1550.8633333333332,0.35509898787557037,RUNAWAY,0,1,162,300,1,133b6495,426,1550.8633333333332,0.35509898787557037,RUNAWAY,0,1,162,300,1,133b6495,426,NA,34336,0.1544232243167408,4.82572575989816,11.83137412673634
0.032,2.00,0.1,0.05,4,3002,1800,429,1589.8033333333333,0.2825527685814388,RUNAWAY,0,1,153.17333333333335,300,1,af3c4d73,429,1589.8033333333333,0.2825527685814388,RUNAWAY,0,1,153.17333333333335,300,1,af3c4d73,429,NA,32819,0.14850961336547097,4.640925417670941,11.254118515023578
0.032,2.00,0.1,0.05,4,3003,1800,405,1660.6,0.3298245614035088,RUNAWAY,0,1,148.10666666666665,300,1,09433983,405,1660.6,0.3298245614035088,RUNAWAY,0,1,148.10666666666665,300,1,09433983,405,NA,32596,0.15384694541410146,4.807717044190641,10.855376034916857
0.032,2.00,0.1,0.05,4,3004,1800,423,1704.6866666666667,0.24028071629976966,RUNAWAY,0,1,155.23,300,1,11ea6992,423,1704.6866666666667,0.24028071629976966,RUNAWAY,0,1,155.23,300,1,11ea6992,423,NA,33720,0.1584678489133005,4.952120278540624,11.417390299943051
0.032,2.00,0.1,0.05,4,3005,1800,395,1618.0466666666666,0.3685287198144265,RUNAWAY,0,1,146.05333333333334,300,1,07d39a1d,395,1618.0466666666666,0.3685287198144265,RUNAWAY,0,1,146.05333333333334,300,1,07d39a1d,395,NA,29985,0.1419266490332356,4.435207782288576,10.589080793422681
0.032,2.00,0.1,0.05,4,3006,1800,401,1713.5366666666666,0.2141321749753434,RUNAWAY,0,1,139.06,300,1,5e629c67,401,1713.5366666666666,0.2141321749753434,RUNAWAY,0,1,139.06,300,1,5e629c67,401,NA,32521,0.14844126994876053,4.638789685898782,10.751046153192709
0.032,2.00,0.1,0.05,4,3007,1800,419,1514.6433333333334,0.40752168277240186,RUNAWAY,0,1,162.49,300,1,f6486a2e,419,1514.6433333333334,0.40752168277240186,RUNAWAY,0,1,162.49,300,1,f6486a2e,419,NA,33179,0.159440636081347,4.982519877542117,12.376924575775753
0.032,2.00,0.1,0.05,4,3008,1800,398,1621.8733333333332,0.46006058837311586,RUNAWAY,0,1,137.04,300,1,3387063e,398,1621.8733333333332,0.46006058837311586,RUNAWAY,0,1,137.04,300,1,3387063e,398,NA,30792,0.1440408977062074,4.501278053319022,10.459161641344501
0.032,2.00,0.1,0.05,4,3009,1800,421,1515.9333333333334,0.2745723206825278,RUNAWAY,0,1,156.08333333333334,300,1,7f2d6ef5,421,1515.9333333333334,0.2745723206825278,RUNAWAY,0,1,156.08333333333334,300,1,7f2d6ef5,421,NA,34766,0.1602234487976449,5.0069827749264695,12.184483133402258
0.032,2.00,0.1,0.05,4,3010,1800,401,1540.98,0.5860426481849212,RUNAWAY,0,1,144.22,300,1,d0f927c9,401,1540.98,0.5860426481849212,RUNAWAY,0,1,144.22,300,1,d0f927c9,401,NA,31186,0.14269167371007854,4.459114803439951,10.660715322150976
0.064,2.00,0.1,0.05,4,3001,1800,261,1637.4,0.25067790399413703,RUNAWAY,0,1,80.02,300,1,4f27ab5a,261,1637.4,0.25067790399413703,RUNAWAY,0,1,80.02,300,1,4f27ab5a,261,NA,17431,0.16739769774663749,2.6155890272911955,6.195750598278971
0.064,2.00,0.1,0.05,4,3002,1800,250,1514.22,0.267323550518859,RUNAWAY,0,1,71.41666666666667,300,1,7096303e,250,1514.22,0.267323550518859,RUNAWAY,0,1,71.41666666666667,300,1,7096303e,250,NA,15581,0.14111441133802008,2.204912677156565,5.2165266731215105
0.064,2.00,0.1,0.05,4,3003,1800,238,1566.9633333333334,0.27001695423632543,RUNAWAY,0,1,62.013333333333335,300,1,43b32d92,238,1566.9633333333334,0.27001695423632543,RUNAWAY,0,1,62.013333333333335,300,1,43b32d92,238,NA,15550,0.1425756026416095,2.2277437912751727,5.220306290968719
0.064,2.00,0.1,0.05,4,3004,1800,268,1553.4533333333334,0.40622183693963554,RUNAWAY,0,1,74.18333333333334,300,1,39a48a49,268,1553.4533333333334,0.40622183693963554,RUNAWAY,0,1,74.18333333333334,300,1,39a48a49,268,NA,15760,0.14731944275714173,2.3018662930803497,5.545620821705544
0.064,2.00,0.1,0.05,4,3005,1800,253,1713.6333333333334,0.1708436266023459,RUNAWAY,0,1,70.00333333333333,300,1,9f0ae86c,253,1713.6333333333334,0.1708436266023459,RUNAWAY,0,1,70.00333333333333,300,1,9f0ae86c,253,NA,16434,0.15129678570464902,2.364012276635133,5.948581760406337
0.064,2.00,0.1,0.05,4,3006,1800,243,1528.13,0.3837609801958385,RUNAWAY,0,1,77.01333333333334,300,1,5872c888,243,1528.13,0.3837609801958385,RUNAWAY,0,1,77.01333333333334,300,1,5872c888,243,NA,16065,0.1482109277775998,2.315795746524988,5.714511439875719
