arm,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire
A-conscription,0.2,0.03,44,9,600,0,0,1,0,NA,231,1,300,1,1
A-conscription,0.2,0.03,44,10,600,85.29666666666667,0.9567783031771464,0,0,NA,NA,19.933333333333334,300,1,1
B-innate,0.2,0.03,44,1,164,1517.5,0.015949478308621635,0,1,164,NA,1,300,0,1
B-innate,0.2,0.03,44,2,162,1545.12,0.024705740222981602,0,1,162,NA,1,300,0,1
B-innate,0.2,0.03,44,3,600,0,0,1,0,NA,216,1,300,0,1
B-innate,0.2,0.03,44,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.2,0.03,44,5,135,1525.77,0.01999646080339763,0,1,135,NA,1,300,0,1
B-innate,0.2,0.03,44,6,600,0,0,1,0,NA,253,1,300,0,1
B-innate,0.2,0.03,44,7,166,1537.77,0.021193026265306256,0,1,166,NA,1,300,0,1
B-innate,0.2,0.03,44,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.2,0.03,44,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.2,0.03,44,10,600,0,0,1,0,NA,249,1,300,0,1
