phi,ratio,theta,sigma_s,k_star,seed,horizon,predicted_t_sat,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,stopped_at_1800,copies_per_genome_1800,silenced_fraction_1800,outcome_1800,extinct_1800,saturated_1800,entries_per_genome_1800,max_genomes_with_repertoire_1800,saw_nonzero_entry_1800,hash_1800,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.0453,2.00,0.1,0.05,4,4005,1000,337.6344387073278,318,1574.8333333333333,0.5477680177796592,RUNAWAY,0,1,103.32,300,1,8a9406d7,318,1574.8333333333333,0.5477680177796592,RUNAWAY,0,1,103.32,300,1,8a9406d7,318,1574.8333333333333,0.5477680177796592,RUNAWAY,0,1,103.32,300,1,8a9406d7,318,NA,21569,0.1459930953122656,3.222805636032394,7.426601232582096
0.0453,2.00,0.1,0.05,4,4006,1000,337.6344387073278,348,1563.05,0.4542806265527867,RUNAWAY,0,1,102.00333333333333,300,1,a5bd7523,348,1563.05,0.4542806265527867,RUNAWAY,0,1,102.00333333333333,300,1,a5bd7523,348,1563.05,0.4542806265527867,RUNAWAY,0,1,102.00333333333333,300,1,a5bd7523,348,NA,22686,0.14765308604300548,3.2594500230244106,7.784468515065306
0.0453,2.00,0.1,0.05,4,4007,1000,337.6344387073278,303,1600.61,0.4061160016077204,RUNAWAY,0,1,108.04666666666667,300,1,d471d1fe,303,1600.61,0.4061160016077204,RUNAWAY,0,1,108.04666666666667,300,1,d471d1fe,303,1600.61,0.4061160016077204,RUNAWAY,0,1,108.04666666666667,300,1,d471d1fe,303,NA,23761,0.15433262629721228,3.406901242764015,7.650392742958094
0.0453,2.00,0.1,0.05,4,4008,1000,337.6344387073278,322,1558.43,0.3197063711555861,RUNAWAY,0,1,106.01666666666667,300,1,7c159ef0,322,1558.43,0.3197063711555861,RUNAWAY,0,1,106.01666666666667,300,1,7c159ef0,322,1558.43,0.3197063711555861,RUNAWAY,0,1,106.01666666666667,300,1,7c159ef0,322,NA,23278,0.15293452145731365,3.376038001265217,7.767419074407159
0.0453,2.00,0.1,0.05,4,4009,1000,337.6344387073278,339,1592.15,0.26977357661024404,RUNAWAY,0,1,110.05333333333333,300,1,6c6a354f,339,1592.15,0.26977357661024404,RUNAWAY,0,1,110.05333333333333,300,1,6c6a354f,339,1592.15,0.26977357661024404,RUNAWAY,0,1,110.05333333333333,300,1,6c6a354f,339,NA,23611,0.15012052211067212,3.3139188103901005,7.798881419425413
0.0453,2.00,0.1,0.05,4,4010,1000,337.6344387073278,310,1528.47,0.5044194521318704,RUNAWAY,0,1,93.80666666666667,300,1,55c26781,310,1528.47,0.5044194521318704,RUNAWAY,0,1,93.80666666666667,300,1,55c26781,310,1528.47,0.5044194521318704,RUNAWAY,0,1,93.80666666666667,300,1,55c26781,310,NA,21935,0.14777040142206838,3.262039766491613,8.519140535171745
0.002,3.33,0.1,0.03,11,4001,8000,3759.502281696534,4992,1527.8766666666668,0.18976226266081686,RUNAWAY,0,1,1510.12,300,1,12f36b5d,600,267.36,0.9333108916816277,CONTROLLED,0,0,148.07333333333332,300,1,baafa014,1800,361.18333333333334,0.884536938766093,CONTROLLED,0,0,525.2333333333333,300,1,2fd147f7,4992,NA,310881,0.08470645133790698,42.35322566895607,102.74443235437516
0.002,3.33,0.1,0.03,11,4002,8000,3759.502281696534,4973,1685.8633333333332,0.17150658712944308,RUNAWAY,0,1,1494.0666666666666,300,1,2f69f229,600,299.78333333333336,0.9313059431811864,CONTROLLED,0,0,138.24666666666667,300,1,ab3158f1,1800,387.6433333333333,0.8935189564290198,CONTROLLED,0,0,514.4333333333333,300,1,bc59ded1,4973,NA,311871,0.08485577911063302,42.42788955531609,101.98318451552026
0.002,3.33,0.1,0.03,11,4003,8000,3759.502281696534,5688,1526.69,0.1354302445159135,RUNAWAY,0,1,1655,300,1,93153802,600,278.68,0.9132338165638008,CONTROLLED,0,0,149.81666666666666,300,1,68c5daa4,1800,379.39666666666665,0.9083017773833895,CONTROLLED,0,0,527.7033333333334,300,1,34f44010,5688,NA,320746,0.08866626186384073,44.33313093192137,117.4905956082095
0.002,3.33,0.1,0.03,11,4004,8000,3759.502281696534,5527,1530.9033333333334,0.33588230042828743,RUNAWAY,0,1,1677,300,1,bd78f705,600,275.94666666666666,0.9317863355237727,CONTROLLED,0,0,148.90666666666667,300,1,5bbdfd2c,1800,392.63,0.9108999991510243,CONTROLLED,0,0,529.2233333333334,300,1,c2a2b692,5527,NA,325265,0.09048713652796868,45.24356826398298,112.86651560332287
0.002,3.33,0.1,0.03,11,4005,8000,3759.502281696534,5310,1562.5666666666666,0.4065938519956482,RUNAWAY,0,1,1600,300,1,96c8cfb6,600,271.9033333333333,0.9404690392418874,CONTROLLED,0,0,131.01333333333332,300,1,866eb511,1800,370.98,0.9152245404064909,CONTROLLED,0,0,503.54,300,1,acbd28e2,5310,NA,317913,0.08761935161548794,43.80967580774464,107.6345970616211
0.002,3.33,0.1,0.03,11,4006,8000,3759.502281696534,5159,1535.11,0.35838908395272434,RUNAWAY,0,1,1554.0166666666667,300,1,868274d8,600,292.1166666666667,0.9350487818793861,CONTROLLED,0,0,141.33333333333334,300,1,e505d468,1800,382.6666666666667,0.9288937282229965,CONTROLLED,0,0,515.9933333333333,300,1,d03787bd,5159,NA,315580,0.08664975646798118,43.32487823398943,106.07795853312774
