phi,ratio,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire,captures,mean_displacement,max_abs_entry,exploratory
0,3.33,0.1,0.03,11,2007,600,256.45,0.9403262494313381,CONTROLLED,0,0,NA,NA,124.22333333333333,300,1,1,35306,0,9.377434719679368,0
0,3.33,0.1,0.03,11,2008,600,247.39,0.9363488149615318,CONTROLLED,0,0,NA,NA,137.10666666666665,300,1,1,40358,0,10.683071575823716,0
0,3.33,0.1,0.03,11,2009,600,256.75,0.9474586173320351,CONTROLLED,0,0,NA,NA,142.15,300,1,1,40931,0,10.3727442171285,0
0,3.33,0.1,0.03,11,2010,600,253.59666666666666,0.9403646209860803,CONTROLLED,0,0,NA,NA,148.09333333333333,300,1,1,41395,0,10.541479247571914,0
0.125,3.33,0.1,0.03,11,2001,165,1511.0233333333333,0.1410170149589572,RUNAWAY,0,1,165,NA,24.03,300,1,1,4797,0.09068160914021624,2.376723671629175,0
0.125,3.33,0.1,0.03,11,2002,176,1833.2466666666667,0.2406386483724685,RUNAWAY,0,1,176,NA,19.226666666666667,300,1,1,4422,0.08166675655061727,2.162699647858055,0
0.125,3.33,0.1,0.03,11,2003,178,1580.1,0.12173280172141003,RUNAWAY,0,1,178,NA,24.003333333333334,300,1,1,4836,0.088413998940238,2.135749548724231,0
0.125,3.33,0.1,0.03,11,2004,190,1543.4966666666667,0.14018818742724853,RUNAWAY,0,1,190,NA,27,300,1,1,5312,0.1003885371220929,1.849417741165647,0
0.125,3.33,0.1,0.03,11,2005,164,1580.1966666666667,0.1773365762489479,RUNAWAY,0,1,164,NA,21.15,300,1,1,4943,0.0905570603154927,1.8483304918903727,0
0.125,3.33,0.1,0.03,11,2006,154,1681.21,0.1205401665070594,RUNAWAY,0,1,154,NA,26,300,1,1,5261,0.09660983327701471,1.9145500702395473,0
0.125,3.33,0.1,0.03,11,2007,179,1537.16,0.24077736431687874,RUNAWAY,0,1,179,NA,27.003333333333334,300,1,1,5049,0.09307806309732067,1.811819612927089,0
0.125,3.33,0.1,0.03,11,2008,188,1539.12,0.11037692534262003,RUNAWAY,0,1,188,NA,23.013333333333332,300,1,1,5198,0.09307668838379222,2.056931617566431,0
0.125,3.33,0.1,0.03,11,2009,161,1685.0666666666666,0.2675423326475708,RUNAWAY,0,1,161,NA,20.02,300,1,1,4806,0.08844862804811403,2.0024250468040647,0
0.125,3.33,0.1,0.03,11,2010,177,1864.4633333333334,0.16715980827369448,RUNAWAY,0,1,177,NA,24.013333333333332,300,1,1,4699,0.09012517734191361,2.3292362284648767,0
0.25,3.33,0.1,0.03,11,2001,159,1664.6033333333332,0.10836014986553354,RUNAWAY,0,1,159,NA,16,300,1,1,2733,0.11453006618703584,1.0642514380562307,0
0.25,3.33,0.1,0.03,11,2002,142,1556.06,0.11905282144218945,RUNAWAY,0,1,142,NA,14,300,1,1,2602,0.10147273740713171,1.0647326851494232,0
0.25,3.33,0.1,0.03,11,2003,123,1660.1,0.11888239664277252,RUNAWAY,0,1,123,NA,13,300,1,1,2963,0.11759034535559156,0.9120267676337848,0
0.25,3.33,0.1,0.03,11,2004,133,1553.0333333333333,0.10876564143289477,RUNAWAY,0,1,133,NA,13,300,1,1,2745,0.10820111976203507,1.034725346939259,0
0.25,3.33,0.1,0.03,11,2005,158,1551.8366666666666,0.07115224755182568,RUNAWAY,0,1,158,NA,14,300,1,1,2703,0.10962018941864526,1.089098895985403,0
0.25,3.33,0.1,0.03,11,2006,170,1509.5533333333333,0.1721060976094474,RUNAWAY,0,1,170,NA,19,300,1,1,3279,0.13773892413163796,1.310646180517156,0
0.25,3.33,0.1,0.03,11,2007,149,1572.31,0.07369623886722933,RUNAWAY,0,1,149,NA,15.036666666666667,300,1,1,2946,0.1136223442164454,1.0891112957578866,0
0.25,3.33,0.1,0.03,11,2008,144,1533.1066666666666,0.07216501569797275,RUNAWAY,0,1,144,NA,13,300,1,1,2947,0.11427455642542501,0.913767160956705,0
0.25,3.33,0.1,0.03,11,2009,134,1599.2433333333333,0.1648216969275053,RUNAWAY,0,1,134,NA,15,300,1,1,3103,0.1324359956150134,1.0018911445019443,0
0.25,3.33,0.1,0.03,11,2010,149,1851.4866666666667,0.06283059019238593,RUNAWAY,0,1,149,NA,14,300,1,1,2977,0.1108981528606604,1.0488041164961504,0
0.375,3.33,0.1,0.03,11,2001,152,1614.4966666666667,0.04873138996880349,RUNAWAY,0,1,152,NA,9.04,300,1,1,1829,0.14294957510789696,0.6381956495226073,0
0.375,3.33,0.1,0.03,11,2002,117,1529.0133333333333,0.05613423907356378,RUNAWAY,0,1,117,NA,8.013333333333334,300,1,1,1781,0.10964022749271653,0.7128800074780264,0
0.375,3.33,0.1,0.03,11,2003,138,1634.8066666666666,0.07303004228838476,RUNAWAY,0,1,138,NA,10,300,1,1,1693,0.12248338970506013,0.6394877912046018,0
0.375,3.33,0.1,0.03,11,2004,134,1735.17,0.0907134939708117,RUNAWAY,0,1,134,NA,11,300,1,1,1750,0.12565046136760474,0.667960012470717,0
0.375,3.33,0.1,0.03,11,2005,129,1602.1366666666668,0.07689731005053668,RUNAWAY,0,1,129,NA,10,300,1,1,2034,0.1474378033833911,0.6861669985741158,0
0.375,3.33,0.1,0.03,11,2006,125,1639.2066666666667,0.05785318914434218,RUNAWAY,0,1,125,NA,10.003333333333334,300,1,1,1793,0.13033067330943235,0.6942511908292652,0
0.375,3.33,0.1,0.03,11,2007,125,1529.0666666666666,0.01317361353331008,RUNAWAY,0,1,125,NA,8,300,1,1,1765,0.1257604127549195,0.7246648189214622,0
0.375,3.33,0.1,0.03,11,2008,115,1624.6866666666667,0.05564354973061472,RUNAWAY,0,1,115,NA,8,300,1,1,1600,0.10805812772841052,0.5524198681821619,0
0.375,3.33,0.1,0.03,11,2009,138,1680.5433333333333,0.05212401544738507,RUNAWAY,0,1,138,NA,9.003333333333334,300,1,1,1831,0.1342595543426768,0.6611879057784835,0
0.375,3.33,0.1,0.03,11,2010,123,1568.4,0.05539615744282921,RUNAWAY,0,1,123,NA,9,300,1,1,1779,0.1172064981301297,0.7312236597728794,0
0.5,3.33,0.1,0.03,11,2001,124,1608.8466666666666,0.07799790325989218,RUNAWAY,0,1,124,NA,7,300,1,1,1147,0.13961836591826565,0.47830513460878776,0
0.5,3.33,0.1,0.03,11,2002,129,1807.46,0.049625810068641446,RUNAWAY,0,1,129,NA,6,300,1,1,1197,0.13316953812096363,0.499770249377445,0
0.5,3.33,0.1,0.03,11,2003,130,1599.8466666666666,0.040555969947119935,RUNAWAY,0,1,130,NA,6,300,1,1,1318,0.14665579885799496,0.4917029740333776,0
0.5,3.33,0.1,0.03,11,2004,111,1619.3266666666666,0.12812938711151547,RUNAWAY,0,1,111,NA,8,300,1,1,1325,0.15511735285351808,0.46193780433108583,0
0.5,3.33,0.1,0.03,11,2005,130,1570.7233333333334,0.03693202919249518,RUNAWAY,0,1,130,NA,6,300,1,1,1427,0.14441508614805137,0.39003784508542577,0
0.5,3.33,0.1,0.03,11,2006,136,1533.9533333333334,0.03284758771453282,RUNAWAY,0,1,136,NA,7,300,1,1,1366,0.1643795913291767,0.5214811336948831,0
0.5,3.33,0.1,0.03,11,2007,155,1598.92,0.03031838157422927,RUNAWAY,0,1,155,NA,8,300,1,1,1456,0.17877612554456646,0.5571999328937906,0
0.5,3.33,0.1,0.03,11,2008,121,1565.5333333333333,0.047091513009411064,RUNAWAY,0,1,121,NA,8.006666666666666,300,1,1,1423,0.17302698428419916,0.6196176346566198,0
0.5,3.33,0.1,0.03,11,2009,118,1509.1633333333334,0.044770943723785143,RUNAWAY,0,1,118,NA,5.003333333333333,300,1,1,1270,0.12817369216736352,0.45853688614536825,0
0.5,3.33,0.1,0.03,11,2010,121,1522.9733333333334,0.045485585214886666,RUNAWAY,0,1,121,NA,7,300,1,1,1786,0.21215924423829083,0.46389710692966246,0
0.625,3.33,0.1,0.03,11,2001,126,1640.68,0.029449171481743343,RUNAWAY,0,1,126,NA,4,300,1,1,723,0.1155869228925476,0.24309092520451675,0
0.625,3.33,0.1,0.03,11,2002,111,1549.9166666666667,0.027650948975751384,RUNAWAY,0,1,111,NA,4,300,1,1,851,0.13556401914295088,0.338318000260056,0
0.625,3.33,0.1,0.03,11,2003,126,1612.5766666666666,0.020255367703447692,RUNAWAY,0,1,126,NA,4,300,1,1,733,0.13541553036643783,0.3086423124875931,0
0.625,3.33,0.1,0.03,11,2004,123,1532.7533333333333,0.022036596451701296,RUNAWAY,0,1,123,NA,3.0166666666666666,300,1,1,1451,0.21723631543368294,0.29121793219297964,0
0.625,3.33,0.1,0.03,11,2005,144,1583.51,0.03524027845314102,RUNAWAY,0,1,144,NA,3,300,1,1,1028,0.2063642121800907,0.2774000672480441,0
0.625,3.33,0.1,0.03,11,2006,142,1559.14,0.029293926993941104,RUNAWAY,0,1,142,NA,5,300,1,1,815,0.14297231944842545,0.26731304220735186,0
0.625,3.33,0.1,0.03,11,2007,124,1569.5433333333333,0.048440841603608696,RUNAWAY,0,1,124,NA,5,300,1,1,1108,0.18805695909613684,0.2739807713925194,0
0.625,3.33,0.1,0.03,11,2008,112,1544.6733333333334,0.1523925231224725,RUNAWAY,0,1,112,NA,5,300,1,1,1140,0.15623712018614375,0.31079400515631594,0
0.625,3.33,0.1,0.03,11,2009,85,1595.8566666666666,0.04217379589227938,RUNAWAY,0,1,85,NA,3,300,1,1,710,0.11415036763539414,0.21766305384652584,0
0.625,3.33,0.1,0.03,11,2010,162,1568.6466666666668,0.020270126690948034,RUNAWAY,0,1,162,NA,5,300,1,1,1126,0.18858188303253623,0.323266015572942,0
0.75,3.33,0.1,0.03,11,2001,117,1538.44,0.032710624615411285,RUNAWAY,0,1,117,NA,3,300,1,1,461,0.14960155948315434,0.14089378512620546,0
0.75,3.33,0.1,0.03,11,2002,122,1694.8966666666668,0.02518934290979391,RUNAWAY,0,1,122,NA,3,300,1,1,458,0.14115705275176185,0.13018895032921265,0
0.75,3.33,0.1,0.03,11,2003,131,1611.3566666666666,0.04517518364442385,RUNAWAY,0,1,131,NA,3,300,1,1,559,0.19973673859578248,0.21529755644475057,0
